Date,High (kg),Low (kg),Close (kg),,High (troy oz),Low (troy oz),Close (troy oz)
26/10/2016 00:00,34272.37,30513.8,30629.58,,1065.99,949.09,952.69
26/09/2016 00:00,33769.43,31797.65,33662.44,,1050.35,989.02,1047.02
27/08/2016 00:00,33277.07,32285.72,33159.23,,1035.03,1004.2,1031.37
28/07/2016 00:00,33664.84,32108.72,32330.97,,1047.09,998.69,1005.61
28/06/2016 00:00,34382.29,31354.07,32566.27,,1069.41,975.22,1012.92
29/05/2016 00:00,32772.97,26399.98,32204.11,,1019.35,821.13,1001.66
29/04/2016 00:00,28821.26,26567.39,26672.12,,896.44,826.34,829.6
30/03/2016 00:00,28567.67,27141.26,27852.08,,888.55,844.19,866.3
29/02/2016 00:00,28990.11,27397.98,27697.04,,901.69,852.17,861.47
30/01/2016 00:00,28892.37,24898.12,28329.34,,898.65,774.42,881.14
31/12/2015 00:00,25478.37,22954.36,25238.94,,792.47,713.96,785.02
01/12/2015 00:00,23373.83,22456.07,23041.87,,727.01,698.46,716.68
01/11/2015 00:00,23808.75,22503.12,22726.69,,740.53,699.93,706.88
02/10/2015 00:00,24861.81,23460,23799.46,,773.29,729.69,740.25
02/09/2015 00:00,24405.02,22908.68,23656.3,,759.08,712.54,735.79
03/08/2015 00:00,24071.5,22305.96,23927.61,,748.71,693.79,744.23
04/07/2015 00:00,24409.92,22285.17,22502.54,,759.23,693.15,699.91
04/06/2015 00:00,24890.13,23846.32,24130.35,,774.17,741.7,750.54
05/05/2015 00:00,25441.16,24269.93,24872.83,,791.31,754.88,773.63
05/04/2015 00:00,26568.34,24614.81,25271.17,,826.37,765.61,786.02
06/03/2015 00:00,26237.47,24670.27,25920.61,,816.08,767.33,806.22
04/02/2015 00:00,26994.69,24825.09,25309.99,,839.63,772.15,787.23
05/01/2015 00:00,27970.04,24876.53,26790.17,,869.97,773.75,833.27
06/12/2014 00:00,25380.33,24158.71,24894.77,,789.42,751.42,774.31
06/11/2014 00:00,24918.61,23031.47,24603.41,,775.06,716.36,765.25
07/10/2014 00:00,25210.52,22936.64,23031.47,,784.13,713.41,716.36
07/09/2014 00:00,25304.06,23715.56,24136.41,,787.04,737.64,750.73
08/08/2014 00:00,25417.56,24615.07,24993.66,,790.57,765.61,777.39
09/07/2014 00:00,25274.39,24242.2,25054.35,,786.12,754.02,779.28
09/06/2014 00:00,25104.21,23860.37,24729.97,,780.83,742.14,769.19
10/05/2014 00:00,25088.5,23826.14,23992.14,,780.34,741.08,746.24
10/04/2014 00:00,25579.97,24301.63,24591.36,,795.63,755.87,764.88
11/03/2014 00:00,26906.82,24663.31,25093.89,,836.9,767.11,780.51
09/02/2014 00:00,26115.15,24788.9,25904.28,,812.27,771.02,805.71
10/01/2014 00:00,25179.85,23903.66,24826.66,,783.18,743.49,772.2
11/12/2013 00:00,24771.5,23013.85,23981.78,,770.48,715.81,745.92
11/11/2013 00:00,25986.89,23812.7,24642.05,,808.28,740.66,766.45
12/10/2013 00:00,27196.23,25264.58,25869.68,,845.9,785.82,804.64
12/09/2013 00:00,27747.89,25399.03,25657.37,,863.06,790,798.03
13/08/2013 00:00,29747.27,27311.1,27738.45,,925.24,849.47,862.76
14/07/2013 00:00,28262.69,26501.99,27735.74,,879.07,824.3,862.68
14/06/2013 00:00,28574.4,24913.08,27375.56,,888.76,774.88,851.48
15/05/2013 00:00,30204.78,28134,28374.87,,939.47,875.07,882.56
15/04/2013 00:00,31313.96,27808.12,30204.78,,973.97,864.93,939.47
16/03/2013 00:00,34468.04,30996.45,31212.32,,1072.08,964.1,970.81
14/02/2013 00:00,34554.7,32859.87,33873.6,,1074.77,1022.06,1053.59
15/01/2013 00:00,34509.78,33324.86,34017.77,,1073.37,1036.52,1058.07
16/12/2012 00:00,33802.06,32349.66,33370.39,,1051.36,1006.19,1037.94
16/11/2012 00:00,35188.05,33663.82,33721.07,,1094.47,1047.06,1048.84
17/10/2012 00:00,35199.74,33587.35,34775.54,,1094.83,1044.68,1081.64
17/09/2012 00:00,35795.62,34596.47,34884.13,,1113.37,1076.07,1085.02
18/08/2012 00:00,35318.05,33000.06,35172.85,,1098.51,1026.42,1094
19/07/2012 00:00,33409.54,32276.75,33097.17,,1039.15,1003.92,1029.44
19/06/2012 00:00,33556.16,32145.36,32345.7,,1043.71,999.83,1006.06
20/05/2012 00:00,34105.79,31440.18,33376.08,,1060.81,977.9,1038.11
20/04/2012 00:00,33109.72,30799.18,32375.84,,1029.83,957.96,1007
21/03/2012 00:00,34133.73,32661.02,32872.32,,1061.68,1015.87,1022.44
